ﾒｰｶｰCD,ﾒｰｶｰ略称,商品CD,商品名,規格・寸法,単位CD,単位名,標準仕入先CD,標準仕入先名,大分類CD,大分類名,中分類CD,中分類名,小分類CD,小分類名,定価(税抜),価格1(税抜),価格2(税抜),価格3(税抜),価格4(税抜),価格5(税抜),価格6(税抜),価格7(税抜),価格8(税抜),在庫取寄区分,在庫取寄区分名,倉庫CD,在庫評価区分名,在庫評価単価,棚番
963161,ﾌﾛｰﾊﾞﾙ,SGNIAM60.75,ｽﾃﾝﾚｽ(SUS303) ｸﾞﾘｽﾆｯﾌﾟﾙ A 型 M6XP0.75,33100106 NGA-6075S,01,ヶ,15,ﾌﾛｰﾊﾞﾙ,T14,ｸﾞﾘｽﾆｯﾌﾟﾙ,T4,ｽﾃﾝﾚｽ,T46,ｸﾞﾘｽﾆｯﾌﾟﾙ A型,400,172,[object Object],260,[object Object],[object Object],[object Object],[object Object],[object Object],1,常時在庫品,[object Object],[object Object],[object Object],[object Object]
963161,ﾌﾛｰﾊﾞﾙ,SGNIAM61.0,ｽﾃﾝﾚｽ(SUS303) ｸﾞﾘｽﾆｯﾌﾟﾙ A 型 M6XP1.0,33100105 NGA-610S,01,ヶ,15,ﾌﾛｰﾊﾞﾙ,T14,ｸﾞﾘｽﾆｯﾌﾟﾙ,T4,ｽﾃﾝﾚｽ,T46,ｸﾞﾘｽﾆｯﾌﾟﾙ A型,400,172,[object Object],260,[object Object],[object Object],[object Object],[object Object],[object Object],2,取寄品,[object Object],[object Object],[object Object],[object Object]
963161,ﾌﾛｰﾊﾞﾙ,SGNIAU1/428,ｽﾃﾝﾚｽ(SUS303) ｸﾞﾘｽﾆｯﾌﾟﾙ A 型 UNF1/4X28,33100108 NGA-0228S,01,ヶ,15,ﾌﾛｰﾊﾞﾙ,T14,ｸﾞﾘｽﾆｯﾌﾟﾙ,T4,ｽﾃﾝﾚｽ,T46,ｸﾞﾘｽﾆｯﾌﾟﾙ A型,400,172,[object Object],260,[object Object],[object Object],[object Object],[object Object],[object Object],1,常時在庫品,[object Object],[object Object],[object Object],[object Object]
963161,ﾌﾛｰﾊﾞﾙ,SGNIA1/8,ｽﾃﾝﾚｽ(SUS303) ｸﾞﾘｽﾆｯﾌﾟﾙ A 型 PT1/8,33100101 NGA-01S 全長19.8L,01,ヶ,15,ﾌﾛｰﾊﾞﾙ,T14,ｸﾞﾘｽﾆｯﾌﾟﾙ,T4,ｽﾃﾝﾚｽ,T46,ｸﾞﾘｽﾆｯﾌﾟﾙ A型,530,228,[object Object],345,[object Object],[object Object],[object Object],[object Object],[object Object],1,常時在庫品,[object Object],[object Object],[object Object],[object Object]
963161,ﾌﾛｰﾊﾞﾙ,SGNIA1/4,ｽﾃﾝﾚｽ(SUS303) ｸﾞﾘｽﾆｯﾌﾟﾙ A 型 PT1/4,33100102 NGA-02S,01,ヶ,15,ﾌﾛｰﾊﾞﾙ,T14,ｸﾞﾘｽﾆｯﾌﾟﾙ,T4,ｽﾃﾝﾚｽ,T46,ｸﾞﾘｽﾆｯﾌﾟﾙ A型,1160,499,[object Object],754,[object Object],[object Object],[object Object],[object Object],[object Object],1,常時在庫品,[object Object],[object Object],[object Object],[object Object]
963161,ﾌﾛｰﾊﾞﾙ,SGNIA3/8,ｽﾃﾝﾚｽ(SUS303) ｸﾞﾘｽﾆｯﾌﾟﾙ A 型 PT3/8,33100103 NGA-03S,01,ヶ,15,ﾌﾛｰﾊﾞﾙ,T14,ｸﾞﾘｽﾆｯﾌﾟﾙ,T4,ｽﾃﾝﾚｽ,T46,ｸﾞﾘｽﾆｯﾌﾟﾙ A型,1860,800,[object Object],1209,[object Object],[object Object],[object Object],[object Object],[object Object],1,常時在庫品,[object Object],[object Object],[object Object],[object Object]
963161,ﾌﾛｰﾊﾞﾙ,SGNIBM60.75,ｽﾃﾝﾚｽ(SUS303) ｸﾞﾘｽﾆｯﾌﾟﾙ B 型 M6XP0.75,33100206 NGB-6075S,01,ヶ,15,ﾌﾛｰﾊﾞﾙ,T14,ｸﾞﾘｽﾆｯﾌﾟﾙ,T4,ｽﾃﾝﾚｽ,T47,ｸﾞﾘｽﾆｯﾌﾟﾙ B型,930,400,[object Object],605,[object Object],[object Object],[object Object],[object Object],[object Object],1,常時在庫品,[object Object],[object Object],[object Object],[object Object]
963161,ﾌﾛｰﾊﾞﾙ,SGNIBM61.0,ｽﾃﾝﾚｽ(SUS303) ｸﾞﾘｽﾆｯﾌﾟﾙ B 型 M6XP1.0,33100205 NGB-610S,01,ヶ,15,ﾌﾛｰﾊﾞﾙ,T14,ｸﾞﾘｽﾆｯﾌﾟﾙ,T4,ｽﾃﾝﾚｽ,T47,ｸﾞﾘｽﾆｯﾌﾟﾙ B型,920,396,[object Object],598,[object Object],[object Object],[object Object],[object Object],[object Object],1,常時在庫品,[object Object],[object Object],[object Object],[object Object]
963161,ﾌﾛｰﾊﾞﾙ,SGNIBU1/428,ｽﾃﾝﾚｽ(SUS303) ｸﾞﾘｽﾆｯﾌﾟﾙ B 型 UNF1/4X28,33100208 NGB-0228S,01,ヶ,15,ﾌﾛｰﾊﾞﾙ,T14,ｸﾞﾘｽﾆｯﾌﾟﾙ,T4,ｽﾃﾝﾚｽ,T47,ｸﾞﾘｽﾆｯﾌﾟﾙ B型,920,396,[object Object],598,[object Object],[object Object],[object Object],[object Object],[object Object],1,常時在庫品,[object Object],[object Object],[object Object],[object Object]
963161,ﾌﾛｰﾊﾞﾙ,SGNIB1/8,ｽﾃﾝﾚｽ(SUS303) ｸﾞﾘｽﾆｯﾌﾟﾙ B 型 PT1/8,33100201 NGB-01S 全長21L,01,ヶ,15,ﾌﾛｰﾊﾞﾙ,T14,ｸﾞﾘｽﾆｯﾌﾟﾙ,T4,ｽﾃﾝﾚｽ,T47,ｸﾞﾘｽﾆｯﾌﾟﾙ B型,980,421,[object Object],637,[object Object],[object Object],[object Object],[object Object],[object Object],1,常時在庫品,[object Object],[object Object],[object Object],[object Object]
